59531A|Itoi Shigesato No Bass Tsuri No. 1 Kettei Ban!|Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban!|Shigesato Itoi's No. 1 Bass Fishing! Definitive Edition|Various,Fishing,Hunting and Fishing,|1||Dice|Nintendo|2000
59869A|J.league Dynamite Soccer 64|J.league Dynamite Soccer 64||Sports,|2|Coop|A-Max|Imagineer|1997
5663AA|J-league Eleven Beat 1997|J.League Eleven Beat 1997 is a Sports game, develo|J.League Eleven Beat 1997|Sports,|2||Hudson|Hudson|1997
59870A|J.league Live 64|J.League Live 64||Fight,Sports / Soccer,Sports,|2|Coop|Electronic Arts|Electronic Arts|1997
108712|J.league Tactics Soccer|J.league Tactics Soccer||Sports,Sports / Soccer,|1||ASCII Entertainment|ASCII Entertainment|1999
5426AA|007 - The World Is Not Enough|007: The World Is Not Enough||Shooter / 1st person,Shooter,Action,|4||Eurocom Developments Ltd|Electronic Arts, Inc.|2000
97419A|Jangou Simulation Mahjong Dou 64|Jangou Simulation Mahjong Dou 64|Jangou Simulation Mahjong Do 64|Puzzle-Game,Mahjong,Asiatic board game,|2||Art|Video System|1997
5708AA|Jeopardy!|Jeopardy!||Strategy,Quiz / English,Quiz,|4||GameTek|GameTek|1998
5661AA|Jeremy Mcgrath Supercross 2000|Jeremy McGrath Supercross 2000||Sports,Race, Driving,|2||Acclaim Entertainment|Acclaim Entertainment|2000
5420AA|Jet Force Gemini|Jet Force Gemini||Shoot'em Up,Action,|4||Nintendo|Rareware|1999
59874A|Jikkyou G1 Stable|Jikkyou G1 Stable||Sports,Horses race,Sports with Animals,|1||Konami|Konami|1999
59875A|Jikkyou J.league Perfect Striker|Jikkyou J.league Perfect Striker||Sports,|4|Coop|KCEO|Konami|1996
59876A|Jikkyou Powerful Pro Yakyuu 2000|Jikkyou Powerful Pro Yakyuu 2000||Sports,Sports / Baseball,|2||Diamond Head|Konami|2000
59877A|Jikkyou Powerful Pro Yakyuu 4|Jikkyou Powerful Pro Yakyuu 4||Sports,Sports / Baseball,|2||Diamond Head|Konami|1997
59879A|Jikkyou Powerful Pro Yakyuu 5|Jikkyou Powerful Pro Yakyuu 5||Sports,Sports / Baseball,|2||Diamond Head|Konami|1998
59880A|Jikkyou Powerful Pro Yakyuu 6|Jikkyou Powerful Pro Yakyuu 6||Sports,Sports / Baseball,|2||Diamond Head|Konami|1999
78381A|Jikkyou Powerful Pro Yakyuu Basic Ban 2001|Jikkyou Powerful Pro Yakyuu Basic Ban 2001|Jikkyou Powerful Pro Yakyuu - Basic Han 2001|Sports / Baseball,Sports,|2||Diamond Head|Konami|2001
59882A|Jinsei Game 64|Jinsei Game 64||Various,Asiatic board game,|4||Takara|Takara|1999
5700AA|Ken Griffey Jr.'s Slugfest|Ken Griffey Jr.'s Slugfest||Sports,|4||Angel Studios|Nintendo|1999
5415AA|Killer Instinct Gold|Killer Instinct Gold||Sports,Action,|2||Rareware|Nintendo|1996
59522A|Kiratto Kaiketsu! 64 Tanteidan|Kiratto Kaiketsu! 64 Tanteidan|Kira to Kaiketsu! 64 Tanteidan|Various,Casual Game,|4||Pandora Box|Imagineer|1998
5438AA|Kirby 64 - The Crystal Shards|Kirby 64 : The Crystal Shards||Action,Platform|4||Nintendo|HAL Laboratory - Nintendo|2000
5551AA|Knife Edge - Nose Gunner|Knife Edge - Nose Gunner||Shoot'em Up,|4||Kemco|Infogrames|1998
5578AA|Knockout Kings 2000|Knockout Kings 2000||Sports,|2||EA Sports|EA Sports|1999
5622AA|Kobe Bryant In Nba Courtside|Kobe Bryant's NBA Courtside||Sports,Sports / Basketball,|4|Coop|Left Field|Nintendo|1998
59521A|Last Legion Ux|Last Legion UX||Shoot'em Up,|2||Yuke's|Hudson|1999
5507AA|Lego Racers|LEGO Racers||Action,Race, Driving,|2||High Voltage|Lego Media|1999
59545A|Rugrats - Scavenger Hunt|Rugrats : Scavenger Hunt||Action,Board game|4||THQ|Realtime Associates|1999
99346A|Rugrats In Paris - The Movie|Rugrats in Paris : The Movie||Platform,|4||Avalanche Software|THQ|2000
5590AA|Lode Runner 3-d|Lode Runner 3-D||Puzzle-Game,Action,|1||Big Bang Software|Infogrames|1999
5510AA|Mace - The Dark Age|Mace : The Dark Age||Action,Fighting|2||Midway|Midway|1997
5721AA|Madden Football 64|Madden Football 64||Sports,Sports / Football,|4||EA Sports|Electronic Arts|1997
5730AA|Madden Nfl 2000|Madden NFL 2000||Sports,Sports / Football,|4|Coop|EA Sports|Electronic Arts|1999
5690AA|Madden Nfl 2001|Madden NFL 2001||Sports,Sports / Football,|4|Coop|EA Sports|Electronic Arts|2000
5666AA|Madden Nfl 2002|Madden NFL 2002||Sports,Sports / Football,|4|Coop|Budcat|Electronic Arts|2001
5692AA|Madden Nfl 99|Madden NFL 99||Sports,Sports / Football,|4|Coop|EA Sports|EA Sports|1998
65248A|Mahjong 64|Mahjong 64||Various,Mahjong,Asiatic board game,|4||Chat Noir|Koei|1997
65249A|Mahjong Hourouki Classic|Mahjong Hourouki Classic||Various,Mahjong,Asiatic board game,|4||Alpha Unit|Imagineer|1997
65250A|Mahjong Master|Mahjong Master||Action,Mahjong,Asiatic board game,|4||Konami|Konami|1996
5584AA|Major League Baseball Featuring Ken Griffey Jr|Major League Baseball featuring Ken Griffey Jr.||Sports,Sports / Baseball,|2||Angel Studios|Nintendo|1998
5469AA|Mario Golf|Mario Golf|Mario Golf 64|Sports,Sports / Golf,|4||Camelot Software Planning|Nintendo - Camelot Software Planning|1960
5401AA|Mario Kart 64|Mario Kart 64||Race, Driving,Sports,|4||Nintendo|Nintendo|1996
59950A|Mario No Photopie|Mario No Photopie||Various,|1||Nintendo|Nintendo|1999
5399AA|Mario Party|Mario Party|Mario Party 2|Action,Strategy,|4||Hudson Soft|Nintendo - Hudson|1998
5429AA|Mario Party 2|Mario Party 2||Action,Board game,|4||Hudson Soft|Nintendo - Hudson|1999
5432AA|Mario Party 3|Mario Party 3||Casual Game,Action,|4||Hudson Soft|Nintendo - Hudson|2000
5431AA|Mario Tennis|Mario Tennis|Mario Tennis 64|Sports,Sports / Tennis,|4||Camelot Software|Nintendo - Camelot Software Planning|2000
5455AA|Mega Man 64|Mega Man 64||Sports,Role playing games,|1||Capcom|Capcom|2000
5486AA|Mickey's Speedway Usa|Mickey's Speedway USA||Race, Driving,|4||Nintendo|Rareware|2000
5493AA|Micromachines 64 Turbo|MicroMachines 64 Turbo|Micro Machines 64 Turbo|Race, Driving,|4||Codemasters|Codemasters - Midway|1998
5612AA|Midway's Greatest Arcade Hits - Volume 1|Midway's Greatest Arcade Hits : Volume 1|Midway's Greatest Arcade Hits Volume 1|Various,Compilation,|2||Digital Eclipse|Midway|2000
5722AA|Mike Piazza's Strike Zone|Mike Piazza's StrikeZone||Sports,Sports / Baseball,|2||Devil's Thumb Entertainment|GT Interactive|1998
5704AA|Milo's Astro Lanes|Milo's Astro Lanes||Sports,Sports / Bowling,|4||Player 1|Crave Entertainment|1998
65251A|Mini Racers|Mini Racers||Race, Driving,|4||Looking Glass Studios|Looking Glass Studios - Nintendo|1999
5488AA|Mischief Makers|Mischief Makers||Action,Adventure,|1||Treasure|Enix - Treasure|1997
5443AA|Mission - Impossible|Mission : Impossible|Mission Impossible|Adventure,Action / Adventure,Action,|1||Infogrames|Ocean|1998
5616AA|Monaco Grand Prix|Monaco Grand Prix||Race, Driving,|2||Ubisoft|Ubisoft|1999
5630AA|Monopoly|Monopoly||Various,Strategy,Board game,|4||Minds Eye Production|Hasbro Interactive|1999
5646AA|Monster Truck Madness 64|Monster Truck Madness 64||Race, Driving,|4||Edge Of Reality|Rockstar North|1999
65252A|Morita Shougi 64|Morita Shougi 64||Various,Shougi,Asiatic board game,|4||SETA Corporation|SETA Corporation|1998
5457AA|Mortal Kombat 4|Mortal Kombat 4||Action,Fight,|2||Eurocom|Midway|1998
5451AA|Mortal Kombat Mythologies - Sub-zero|Mortal Kombat Mythologies: Sub-Zero||Platform,Fight,Role playing games,|1||Avalanche Software|Midway|1997
5423AA|Mortal Kombat Trilogy|Mortal Kombat Trilogy||Race, Driving,Action,Fight,|2||Midway|Midway|1996
5583AA|Mrc - Multi Racing Championship|MRC: Multi-Racing Championship||Race, Driving,|2||Imagineer|Genki|1997
5592AA|Ms. Pac-man - Maze Madness|Ms. Pac-Man : Maze Madness||Action,Puzzle-Game,|4||Namco|Namco|2000
5526AA|Mystical Ninja Starring Goemon|Mystical Ninja Starring Goemon||Sports,Adventure,Action / Adventure,Action,|1|Coop|Konami|Konami|1997
